"operator","origin_airport","destination_airport","airline","flight_number","aircraft_type","origin_time","origin_day_difference","destination_time","destination_day_difference","calendar","is_valid_from","is_valid_to","note_ja","date"
"ANA","HND","FUK","ANA","NH247","788/763","09:40",,"11:25",,"　月　　　　　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH247","788","09:40",,"11:25",,"日　火水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH247","763","09:40",,"11:30",,"日月　水木金土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH247","788/763","09:40",,"11:30",,"　　火　　　　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL313","359","10:05",,"12:00",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","FUK","SFJ","7G045/NH3845","32F","10:15",,"12:10",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH249","788/321","10:30",,"12:20",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH249","788/763","10:30",,"12:25",,"　月火　　金　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH249","788","10:30",,"12:25",,"日　　水木　土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1443","321","10:55",,"12:45",,"　　　　　金土","2022-08-21T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1443","321","10:55",,"12:45",,"　　　　　　土","2022-08-01T00:00:00+09:00","2022-08-06T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1443","321","10:55",,"12:45",,"　　　　木　　","2022-08-07T00:00:00+09:00","2022-08-13T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL315","359","10:55",,"12:50",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","FUK","ANA","NH251/GA9336","788","11:30",,"13:20",,"　　　　木　土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH251","788/763","11:30",,"13:20",,"　　火　　　　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH251","788","11:30",,"13:20",,"日月　水　金　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH251/GA9336","788","11:30",,"13:25",,"　　　　　　土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH251","788","11:30",,"13:25",,"　月火水　金　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH251/GA9336","788/772","11:30",,"13:25",,"　　　　木　　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH251","788/763","11:30",,"13:25",,"日　　　　　　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1445","73H","11:55",,"13:45",,"　月火　　　　","2022-08-14T00:00:00+09:00","2022-08-20T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1445","73H/32P","11:55",,"13:45",,"日　　　　　　","2022-08-21T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1445","73H/32P","11:55",,"13:45",,"日　　　　　　","2022-09-25T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1445","73H/32P","11:55",,"13:45",,"日　　　　　　","2022-08-01T00:00:00+09:00","2022-08-13T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL317","767","12:00",,"13:45",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","FUK","JAL","JL317","767","12:00",,"13:50",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
